label,strategy,model,epoch,train_loss,val_loss,auc,sensitivity,ppv,f1,accuracy,body_acc
S1_Single_ResNet50,S1,Single_ResNet50,1,0.5861,0.7856,0.7777,0.7092,0.6871,0.698,0.7063,
S1_Single_ResNet50,S1,Single_ResNet50,2,0.5857,0.7814,0.7826,0.7,0.7014,0.7007,0.7138,
S1_Single_ResNet50,S1,Single_ResNet50,3,0.5821,0.8507,0.7869,0.7595,0.6682,0.7109,0.7044,
S1_Single_ResNet50,S1,Single_ResNet50,4,0.5813,0.7273,0.7793,0.7373,0.6767,0.7057,0.7057,
S1_Single_ResNet50,S1,Single_ResNet50,5,0.5803,0.8669,0.7858,0.6824,0.7175,0.6995,0.7194,
S1_Single_ResNet50,S1,Single_ResNet50,6,0.5778,0.8564,0.7746,0.7484,0.6684,0.7061,0.7019,
S1_Single_ResNet50,S1,Single_ResNet50,7,0.5771,0.94,0.7624,0.8196,0.6153,0.7029,0.6684,
S1_Single_ResNet50,S1,Single_ResNet50,8,0.5772,0.8592,0.7828,0.7771,0.6642,0.7163,0.7053,
S1_Single_ResNet50,S1,Single_ResNet50,9,0.576,0.8923,0.7802,0.6967,0.6891,0.6929,0.7044,
S1_Single_ResNet50,S1,Single_ResNet50,10,0.5758,0.8724,0.779,0.7418,0.6764,0.7076,0.7066,
S1_Single_ResNet50,S1,Single_ResNet50,11,0.5757,1.094,0.7592,0.819,0.6179,0.7043,0.6709,
S1_Single_ResNet50,S1,Single_ResNet50,12,0.5725,0.8946,0.7717,0.7392,0.6661,0.7007,0.6978,
S1_Single_ResNet50,S1,Single_ResNet50,13,0.5717,0.9167,0.7691,0.8065,0.64,0.7137,0.6903,
S1_Single_ResNet50,S1,Single_ResNet50,14,0.57,0.8845,0.7836,0.5451,0.7514,0.6318,0.696,
S1_Single_ResNet50,S1,Single_ResNet50,15,0.5701,0.8935,0.7743,0.6719,0.6853,0.6785,0.6953,
S1_Single_ResNet50,S1,Single_ResNet50,16,0.5699,0.8955,0.7661,0.6791,0.6863,0.6827,0.6978,
S1_Single_ResNet50,S1,Single_ResNet50,17,0.5715,0.9157,0.7787,0.7229,0.6815,0.7016,0.7057,
S1_Single_ResNet50,S1,Single_ResNet50,18,0.5698,0.9631,0.7759,0.7242,0.676,0.6993,0.7019,
S1_Single_ResNet50,S1,Single_ResNet50,19,0.5674,1.1452,0.7772,0.7235,0.6808,0.7015,0.7053,
S1_Single_ResNet50,S1,Single_ResNet50,20,0.5684,1.006,0.776,0.4784,0.8026,0.5995,0.6941,
S1_Multi_ResNet50,S1,Multi_ResNet50,1,1.9731,1.565,0.7539,0.6895,0.669,0.6791,0.6881,0.781
S1_Multi_ResNet50,S1,Multi_ResNet50,2,1.975,1.4177,0.7717,0.519,0.7709,0.6203,0.696,0.7973
S1_Multi_ResNet50,S1,Multi_ResNet50,3,1.9756,1.4466,0.7786,0.7608,0.6636,0.7089,0.701,0.7807
S1_Multi_ResNet50,S1,Multi_ResNet50,4,1.9688,1.5641,0.7761,0.7235,0.6746,0.6982,0.7007,0.7648
S1_Multi_ResNet50,S1,Multi_ResNet50,5,1.9688,1.4286,0.7693,0.6719,0.6984,0.6849,0.7041,0.8023
S1_Multi_ResNet50,S1,Multi_ResNet50,6,1.9765,1.5232,0.779,0.6144,0.7367,0.67,0.7104,0.7876
S1_Multi_ResNet50,S1,Multi_ResNet50,7,1.9679,1.9232,0.761,0.581,0.7216,0.6437,0.6922,0.7942
S1_Multi_ResNet50,S1,Multi_ResNet50,8,1.9602,1.5408,0.7774,0.6882,0.6997,0.6939,0.7094,0.7782
S1_Multi_ResNet50,S1,Multi_ResNet50,9,1.9609,1.5382,0.7611,0.7588,0.6556,0.7034,0.6938,0.7945
S1_Multi_ResNet50,S1,Multi_ResNet50,10,1.9648,1.4705,0.7745,0.5379,0.7544,0.628,0.695,0.7873
S1_Multi_ResNet50,S1,Multi_ResNet50,11,1.9618,1.709,0.7588,0.6739,0.6938,0.6837,0.7016,0.7779
S1_Multi_ResNet50,S1,Multi_ResNet50,12,1.9622,1.6063,0.7523,0.615,0.6599,0.6367,0.6641,0.7976
S1_Multi_ResNet50,S1,Multi_ResNet50,13,1.9679,1.6912,0.7569,0.698,0.6704,0.684,0.6913,0.7961
S1_Multi_ResNet50,S1,Multi_ResNet50,14,1.9608,1.4783,0.7747,0.7209,0.6889,0.7046,0.7107,0.781
S1_Multi_ResNet50,S1,Multi_ResNet50,15,1.9561,1.6791,0.7711,0.534,0.7495,0.6237,0.6916,0.7936
S1_Multi_ResNet50,S1,Multi_ResNet50,16,1.9648,1.5451,0.7678,0.7451,0.6628,0.7015,0.6966,0.7954
S1_Multi_ResNet50,S1,Multi_ResNet50,17,1.9621,1.6635,0.7671,0.6444,0.7068,0.6742,0.7019,0.786
S1_Multi_ResNet50,S1,Multi_ResNet50,18,1.9469,1.545,0.785,0.7026,0.7049,0.7038,0.7169,0.8033
S1_Multi_ResNet50,S1,Multi_ResNet50,19,1.9584,1.6607,0.7694,0.6216,0.7118,0.6636,0.6985,0.786
S1_Multi_ResNet50,S1,Multi_ResNet50,20,1.9679,1.6896,0.76,0.6954,0.6777,0.6865,0.696,0.777
S1_Single_ConvNeXt,S1,Single_ConvNeXt,1,0.5528,1.1052,0.8121,0.749,0.7118,0.7299,0.7348,
S1_Single_ConvNeXt,S1,Single_ConvNeXt,2,0.5484,1.3426,0.8002,0.6941,0.7254,0.7094,0.7279,
S1_Single_ConvNeXt,S1,Single_ConvNeXt,3,0.5504,1.3111,0.8069,0.751,0.701,0.7251,0.7276,
S1_Single_ConvNeXt,S1,Single_ConvNeXt,4,0.5544,1.2152,0.8114,0.6915,0.7409,0.7153,0.7366,
S1_Single_ConvNeXt,S1,Single_ConvNeXt,5,0.5452,1.2064,0.8032,0.7673,0.6878,0.7254,0.7219,
S1_Single_ConvNeXt,S1,Single_ConvNeXt,6,0.5501,1.2593,0.8114,0.7229,0.7272,0.725,0.7376,
S1_Single_ConvNeXt,S1,Single_ConvNeXt,7,0.5481,1.3772,0.8065,0.7386,0.7138,0.726,0.7332,
S1_Single_ConvNeXt,S1,Single_ConvNeXt,8,0.5516,1.3569,0.8144,0.7366,0.7276,0.7321,0.7419,
S1_Single_ConvNeXt,S1,Single_ConvNeXt,9,0.5515,1.1296,0.8124,0.7176,0.7325,0.725,0.7394,
S1_Single_ConvNeXt,S1,Single_ConvNeXt,10,0.5473,1.4848,0.8098,0.7373,0.7135,0.7252,0.7326,
S1_Single_ConvNeXt,S1,Single_ConvNeXt,11,0.552,1.1729,0.8127,0.581,0.7881,0.6689,0.7247,
S1_Single_ConvNeXt,S1,Single_ConvNeXt,12,0.5499,1.2773,0.8178,0.7471,0.7262,0.7365,0.7441,
S1_Single_ConvNeXt,S1,Single_ConvNeXt,13,0.5486,1.3426,0.8158,0.7425,0.7268,0.7346,0.7432,
S1_Single_ConvNeXt,S1,Single_ConvNeXt,14,0.5508,1.3757,0.8097,0.7026,0.7419,0.7217,0.7407,
S1_Single_ConvNeXt,S1,Single_ConvNeXt,15,0.5492,1.1918,0.8048,0.7333,0.7133,0.7232,0.7313,
S1_Single_ConvNeXt,S1,Single_ConvNeXt,16,0.5496,1.3976,0.8059,0.6974,0.7359,0.7161,0.7354,
S1_Single_ConvNeXt,S1,Single_ConvNeXt,17,0.5489,1.2244,0.8127,0.7157,0.7324,0.724,0.7388,
S1_Single_ConvNeXt,S1,Single_ConvNeXt,18,0.5486,1.3279,0.8047,0.7556,0.7057,0.7298,0.7322,
S1_Single_ConvNeXt,S1,Single_ConvNeXt,19,0.55,1.1882,0.8024,0.7059,0.7248,0.7152,0.731,
S1_Single_ConvNeXt,S1,Single_ConvNeXt,20,0.5508,1.3536,0.8124,0.6935,0.7425,0.7171,0.7382,
S1_Multi_ConvNeXt,S1,Multi_ConvNeXt,1,2.0722,1.7883,0.8083,0.7562,0.7085,0.7316,0.7344,0.8139
S1_Multi_ConvNeXt,S1,Multi_ConvNeXt,2,2.072,1.972,0.8095,0.7059,0.7418,0.7234,0.7416,0.8011
S1_Multi_ConvNeXt,S1,Multi_ConvNeXt,3,2.0723,2.2108,0.8162,0.7052,0.7345,0.7196,0.7369,0.8011
S1_Multi_ConvNeXt,S1,Multi_ConvNeXt,4,2.0566,2.1658,0.8132,0.7144,0.7287,0.7215,0.736,0.8045
S1_Multi_ConvNeXt,S1,Multi_ConvNeXt,5,2.0576,2.19,0.8105,0.717,0.7289,0.7229,0.7369,0.7914
S1_Multi_ConvNeXt,S1,Multi_ConvNeXt,6,2.071,2.045,0.8121,0.7307,0.7246,0.7276,0.7382,0.8117
S1_Multi_ConvNeXt,S1,Multi_ConvNeXt,7,2.065,1.7616,0.8126,0.749,0.7127,0.7304,0.7354,0.8073
S1_Multi_ConvNeXt,S1,Multi_ConvNeXt,8,2.0658,1.8087,0.8161,0.7608,0.7106,0.7348,0.7373,0.8089
